PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m
2018-12-31T02:00:00Z,2018-12-31T01:00:00Z,PT60M,24.7,68.9,177,0,177,56.2,92.2,1002.1,58,7.5
2018-12-31T03:00:00Z,2018-12-31T02:00:00Z,PT60M,24.9,64.6,254,0,254,56.6,93.5,1002.0,62,8.2
2018-12-31T04:00:00Z,2018-12-31T03:00:00Z,PT60M,25.0,54.4,355,0,355,56.8,94.3,1001.4,64,8.5
2018-12-31T05:00:00Z,2018-12-31T04:00:00Z,PT60M,25.1,72.4,215,0,215,56.7,94.5,1000.5,65,8.5
2018-12-31T06:00:00Z,2018-12-31T05:00:00Z,PT60M,25.1,78.5,154,0,154,56.7,94.7,999.6,66,8.4
2018-12-31T07:00:00Z,2018-12-31T06:00:00Z,PT60M,24.9,71.4,158,0,158,56.5,94.8,999.4,67,8.3
2018-12-31T08:00:00Z,2018-12-31T07:00:00Z,PT60M,24.4,70.4,113,0,113,56.1,95.0,999.9,69,8.0
2018-12-31T09:00:00Z,2018-12-31T08:00:00Z,PT60M,23.9,59.1,73,0,73,55.8,95.2,1000.3,70,7.8
2018-12-31T10:00:00Z,2018-12-31T09:00:00Z,PT60M,23.8,34.3,8,0,8,55.6,94.9,1000.7,71,7.5
2018-12-31T11:00:00Z,2018-12-31T10:00:00Z,PT60M,24.1,36.2,0,0,0,55.7,94.1,1001.0,70,7.2
2018-12-31T12:00:00Z,2018-12-31T11:00:00Z,PT60M,24.3,36.7,0,0,0,55.8,93.4,1001.3,69,6.9
2018-12-31T13:00:00Z,2018-12-31T12:00:00Z,PT60M,24.3,36.3,0,0,0,55.6,92.9,1001.6,68,6.7
2018-12-31T14:00:00Z,2018-12-31T13:00:00Z,PT60M,24.1,37.0,0,0,0,55.3,92.7,1001.9,69,6.7
2018-12-31T15:00:00Z,2018-12-31T14:00:00Z,PT60M,24.0,37.0,0,0,0,55.0,92.5,1002.1,70,6.8
2018-12-31T16:00:00Z,2018-12-31T15:00:00Z,PT60M,23.8,37.0,0,0,0,54.5,92.6,1002.0,70,6.8
2018-12-31T17:00:00Z,2018-12-31T16:00:00Z,PT60M,23.6,36.0,0,0,0,53.8,93.0,1001.6,70,6.7
2018-12-31T18:00:00Z,2018-12-31T17:00:00Z,PT60M,23.5,36.4,0,0,0,53.1,93.4,1001.3,70,6.6
2018-12-31T19:00:00Z,2018-12-31T18:00:00Z,PT60M,23.4,31.2,0,0,0,52.5,93.5,1001.1,70,6.5
2018-12-31T20:00:00Z,2018-12-31T19:00:00Z,PT60M,23.3,20.2,0,0,0,52.0,93.3,1001.2,70,6.4
2018-12-31T21:00:00Z,2018-12-31T20:00:00Z,PT60M,23.2,36.8,0,0,0,51.5,93.1,1001.2,70,6.3
2018-12-31T22:00:00Z,2018-12-31T21:00:00Z,PT60M,23.5,37.7,0,0,0,51.3,92.6,1001.4,71,6.3
2018-12-31T23:00:00Z,2018-12-31T22:00:00Z,PT60M,24.1,30.5,14,3,15,51.4,91.9,1001.9,72,6.4
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,24.6,7.0,106,171,149,51.5,91.2,1002.4,73,6.5
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,25.1,26.7,244,62,271,51.3,89.6,1002.5,74,6.8
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,25.5,12.6,292,334,489,50.9,87.1,1002.4,74,7.4
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,25.8,62.9,241,24,259,50.5,84.7,1002.3,74,7.9
2019-01-01T04:00:00Z,2019-01-01T03:00:00Z,PT60M,25.9,19.3,374,324,627,50.1,84.5,1001.9,74,8.1
2019-01-01T05:00:00Z,2019-01-01T04:00:00Z,PT60M,25.8,58.1,300,36,329,49.8,86.4,1001.1,73,7.9
2019-01-01T06:00:00Z,2019-01-01T05:00:00Z,PT60M,25.7,55.2,279,46,310,49.5,88.3,1000.4,72,7.7
2019-01-01T07:00:00Z,2019-01-01T06:00:00Z,PT60M,25.4,43.0,299,58,336,49.0,89.7,1000.1,71,7.3
2019-01-01T08:00:00Z,2019-01-01T07:00:00Z,PT60M,24.9,37.2,197,120,249,48.5,90.6,1000.4,70,6.8
2019-01-01T09:00:00Z,2019-01-01T08:00:00Z,PT60M,24.5,29.6,93,109,120,48.1,91.5,1000.6,68,6.3
2019-01-01T10:00:00Z,2019-01-01T09:00:00Z,PT60M,24.4,4.5,14,23,17,48.7,91.8,1001.0,68,5.8
2019-01-01T11:00:00Z,2019-01-01T10:00:00Z,PT60M,24.7,0.0,0,0,0,50.5,91.7,1001.5,70,5.2
2019-01-01T12:00:00Z,2019-01-01T11:00:00Z,PT60M,24.9,0.0,0,0,0,52.3,91.5,1002.0,72,4.7
2019-01-01T13:00:00Z,2019-01-01T12:00:00Z,PT60M,24.7,0.0,0,0,0,52.5,92.1,1002.3,72,4.5
2019-01-01T14:00:00Z,2019-01-01T13:00:00Z,PT60M,24.0,0.0,0,0,0,51.2,93.6,1002.4,72,4.6
2019-01-01T15:00:00Z,2019-01-01T14:00:00Z,PT60M,23.4,0.0,0,0,0,49.9,95.1,1002.4,71,4.8
2019-01-01T16:00:00Z,2019-01-01T15:00:00Z,PT60M,23.1,0.0,0,0,0,48.7,95.7,1002.3,70,5.0
2019-01-01T17:00:00Z,2019-01-01T16:00:00Z,PT60M,23.0,0.0,0,0,0,47.4,95.6,1002.0,70,5.2
2019-01-01T18:00:00Z,2019-01-01T17:00:00Z,PT60M,23.0,0.0,0,0,0,46.2,95.4,1001.7,69,5.5
2019-01-01T19:00:00Z,2019-01-01T18:00:00Z,PT60M,23.0,0.0,0,0,0,45.1,95.2,1001.6,69,5.6
2019-01-01T20:00:00Z,2019-01-01T19:00:00Z,PT60M,23.0,0.0,0,0,0,44.0,95.0,1001.5,68,5.8
2019-01-01T21:00:00Z,2019-01-01T20:00:00Z,PT60M,23.0,0.0,0,0,0,43.0,94.8,1001.5,67,5.9
2019-01-01T22:00:00Z,2019-01-01T21:00:00Z,PT60M,23.3,0.0,0,0,0,42.2,93.8,1001.8,67,6.3
2019-01-01T23:00:00Z,2019-01-01T22:00:00Z,PT60M,24.0,4.4,17,51,22,41.6,92.2,1002.4,67,6.8
2019-01-02T00:00:00Z,2019-01-01T23:00:00Z,PT60M,24.7,0.2,57,561,201,41.1,90.5,1002.9,68,7.3
2019-01-02T01:00:00Z,2019-01-02T00:00:00Z,PT60M,25.3,0.0,79,757,418,40.7,88.2,1003.1,69,7.7
2019-01-02T02:00:00Z,2019-01-02T01:00:00Z,PT60M,25.8,1.2,110,804,599,40.5,85.3,1002.9,69,8.1
2019-01-02T03:00:00Z,2019-01-02T02:00:00Z,PT60M,26.3,4.5,180,729,705,40.4,82.5,1002.8,70,8.5
2019-01-02T04:00:00Z,2019-01-02T03:00:00Z,PT60M,26.7,20.6,347,375,638,40.5,80.3,1002.3,70,8.7
2019-01-02T05:00:00Z,2019-01-02T04:00:00Z,PT60M,26.9,7.0,240,647,744,40.8,78.5,1001.6,69,8.7
2019-01-02T06:00:00Z,2019-01-02T05:00:00Z,PT60M,27.1,23.7,378,242,553,41.1,76.8,1000.9,69,8.7
2019-01-02T07:00:00Z,2019-01-02T06:00:00Z,PT60M,26.9,0.4,136,737,581,41.4,77.1,1000.8,68,8.5
2019-01-02T08:00:00Z,2019-01-02T07:00:00Z,PT60M,26.3,0.4,113,631,393,41.6,79.4,1001.1,67,8.1
2019-01-02T09:00:00Z,2019-01-02T08:00:00Z,PT60M,25.8,40.4,91,44,106,41.7,81.8,1001.4,66,7.7
2019-01-02T10:00:00Z,2019-01-02T09:00:00Z,PT60M,25.6,4.2,16,10,17,43.0,83.2,1001.8,66,7.2
2019-01-02T11:00:00Z,2019-01-02T10:00:00Z,PT60M,25.8,0.0,0,0,0,45.2,83.5,1002.4,67,6.5
2019-01-02T12:00:00Z,2019-01-02T11:00:00Z,PT60M,25.9,0.0,0,0,0,47.5,83.9,1002.9,68,5.7
2019-01-02T13:00:00Z,2019-01-02T12:00:00Z,PT60M,25.6,0.0,0,0,0,48.7,85.6,1003.3,68,5.4
2019-01-02T14:00:00Z,2019-01-02T13:00:00Z,PT60M,24.8,0.0,0,0,0,49.0,88.7,1003.4,66,5.4
2019-01-02T15:00:00Z,2019-01-02T14:00:00Z,PT60M,24.0,0.0,0,0,0,49.3,91.9,1003.4,65,5.3
2019-01-02T16:00:00Z,2019-01-02T15:00:00Z,PT60M,23.5,0.0,0,0,0,49.2,93.8,1003.3,64,5.4
2019-01-02T17:00:00Z,2019-01-02T16:00:00Z,PT60M,23.4,0.0,0,0,0,48.7,94.4,1003.0,64,5.4
2019-01-02T18:00:00Z,2019-01-02T17:00:00Z,PT60M,23.3,0.0,0,0,0,48.3,95.0,1002.7,63,5.5
2019-01-02T19:00:00Z,2019-01-02T18:00:00Z,PT60M,23.2,0.0,0,0,0,48.0,95.4,1002.5,63,5.5
2019-01-02T20:00:00Z,2019-01-02T19:00:00Z,PT60M,23.1,0.0,0,0,0,47.8,95.6,1002.4,62,5.5
2019-01-02T21:00:00Z,2019-01-02T20:00:00Z,PT60M,23.1,0.0,0,0,0,47.6,95.7,1002.4,62,5.5
2019-01-02T22:00:00Z,2019-01-02T21:00:00Z,PT60M,23.5,0.0,0,0,0,47.4,94.1,1002.7,62,5.5
2019-01-02T23:00:00Z,2019-01-02T22:00:00Z,PT60M,24.3,7.7,18,10,19,47.2,90.8,1003.4,62,5.7
2019-01-03T00:00:00Z,2019-01-02T23:00:00Z,PT60M,25.1,25.4,109,141,153,47.1,87.6,1004.1,62,5.8
2019-01-03T01:00:00Z,2019-01-03T00:00:00Z,PT60M,25.5,6.5,128,584,384,47.1,87.0,1004.3,64,6.1
2019-01-03T02:00:00Z,2019-01-03T01:00:00Z,PT60M,25.5,39.2,309,93,370,47.4,88.7,1004.2,65,6.4
2019-01-03T03:00:00Z,2019-01-03T02:00:00Z,PT60M,25.5,15.3,265,497,618,47.6,90.5,1004.1,67,6.8
2019-01-03T04:00:00Z,2019-01-03T03:00:00Z,PT60M,25.7,65.4,276,0,276,47.9,90.7,1003.7,68,7.1
2019-01-03T05:00:00Z,2019-01-03T04:00:00Z,PT60M,26.0,39.2,252,298,483,48.2,89.3,1002.9,69,7.3
2019-01-03T06:00:00Z,2019-01-03T05:00:00Z,PT60M,26.3,51.5,331,27,352,48.5,87.9,1002.1,70,7.5
2019-01-03T07:00:00Z,2019-01-03T06:00:00Z,PT60M,26.1,32.8,345,80,394,48.6,87.4,1001.9,72,7.6
2019-01-03T08:00:00Z,2019-01-03T07:00:00Z,PT60M,25.5,44.9,209,19,219,48.3,87.7,1002.2,74,7.5
2019-01-03T09:00:00Z,2019-01-03T08:00:00Z,PT60M,25.0,57.3,85,0,85,48.0,88.0,1002.5,76,7.4
2019-01-03T10:00:00Z,2019-01-03T09:00:00Z,PT60M,25.0,8.5,14,9,15,47.2,87.7,1002.9,77,7.0
2019-01-03T11:00:00Z,2019-01-03T10:00:00Z,PT60M,25.5,0.0,0,0,0,45.9,86.9,1003.4,74,6.3
2019-01-03T12:00:00Z,2019-01-03T11:00:00Z,PT60M,26.0,0.0,0,0,0,44.6,86.0,1003.9,71,5.6
2019-01-03T13:00:00Z,2019-01-03T12:00:00Z,PT60M,25.8,0.0,0,0,0,43.4,86.3,1004.1,70,5.3
2019-01-03T14:00:00Z,2019-01-03T13:00:00Z,PT60M,25.0,0.0,0,0,0,42.1,87.6,1004.2,70,5.5
2019-01-03T15:00:00Z,2019-01-03T14:00:00Z,PT60M,24.3,0.0,0,0,0,40.9,89.0,1004.2,70,5.6
2019-01-03T16:00:00Z,2019-01-03T15:00:00Z,PT60M,23.8,0.0,0,0,0,39.8,90.0,1004.0,70,5.8
